,Breed,Age,Fur,Color
0,Collie,12,0.7134452815998821,0.749052951075749
1,Collie,14,0.7638191193998384,0.8250943840640662
2,Collie,7,0.9646170603113098,0.719245984760617
3,Collie,11,0.8613847646391184,0.8267404584039756
4,Collie,9,0.8961415662539055,0.7746955149792156
5,Collie,8,0.8581694464802648,1.0
6,Collie,11,0.9493277636800832,0.7559475343430919
7,Collie,14,0.745944462793867,0.7851280994208681
8,Collie,8,0.9572916078529344,0.6960777030960464
9,Collie,12,0.8022976281087859,0.6287278346295564
10,Collie,10,0.977749794514813,0.8129695435193427
11,Collie,10,0.8732778397311526,0.6189937225599933
12,Collie,6,0.7699835848599077,0.7089702842101415
13,Collie,2,0.9391183747092288,0.816258625771843
14,Collie,8,0.9665330860221691,0.7217972741853768
15,Collie,10,0.8629509122984989,0.6951897354769018
16,Collie,11,0.9141202957046123,0.8459953351046582
17,Collie,9,0.9668703955602478,0.9320939395613475
18,Collie,8,0.9998057591130585,0.2152537600516896
19,Collie,11,0.5199620381006115,0.5508389705242246
20,Collie,10,0.9395819971188767,0.6162579002433959
21,Collie,14,0.9400876203957458,0.9482950158943928
22,Collie,12,0.9759773239848789,0.735618264196192
23,Collie,10,0.9424966104873779,1.0
24,Collie,6,0.9535636966981011,0.6372011939300116
25,Collie,10,0.980273270324228,0.4828240235264792
26,Collie,8,0.9909327597932927,0.3767519229772183
27,Collie,13,0.887172336937585,0.5123143758728119
28,Collie,12,0.901393995674378,0.4608686669247126
29,Collie,9,0.9317590330882918,0.3929601208365694
