,Breed,Age,Fur,Color
0,dogo,17,0.7588671253375052,0.8811773906449923
1,dogo,20,0.47320449844658274,0.1851814922713927
2,dogo,6,0.2483213144945042,0.3880122714961337
3,dogo,22,0.5841871118489768,0.8214973937299179
4,dogo,29,0.7052938038503203,0.15353938905660536
5,dogo,14,0.38564283580353037,0.07279181880275953
6,dogo,25,0.3160611172076535,0.5569649058509973
7,dogo,24,0.2394021093459756,0.8257081368320139
8,dogo,24,0.9385971838583524,0.046198854228685304
9,dogo,27,0.29908601128116835,0.8639356011512926
10,dogo,12,0.23264729948726318,0.08934267715546373
11,dogo,23,0.3721074196671071,0.4271320150282877
12,dogo,15,0.7404258637918548,0.17437913952017936
13,dogo,8,0.6774630545069291,0.29094069787681354
14,dogo,16,0.8643849967245877,0.12349395262777785
15,dogo,17,0.8401120740380239,0.15302748851636117
16,dogo,13,0.8420566677326833,0.7930226460697811
17,dogo,24,0.5119172061205106,0.7961480993756254
18,dogo,13,0.6857653653106514,0.11946593225675806
19,dogo,19,0.7454892074723586,0.13180973467325352
20,dogo,17,0.45138947733256,0.5576023433537501
21,dogo,27,0.09180689948540839,0.3456102137169088
22,dogo,6,0.6426065806377497,0.724400079708402
23,dogo,27,0.9653504088651629,0.42348081764511525
24,dogo,7,0.67639829137298,0.5315145798287354
25,dogo,23,0.5370450634004205,0.6656652082478433
26,dogo,19,0.26150427196594855,0.49727125425892593
27,dogo,27,0.46459196721251245,0.6783129054268997
28,dogo,21,0.5981578897336749,0.14112753875646733
29,dogo,14,0.7127321718324708,0.5717451396823783
